iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
35,"(27, 3)","(28, 3)",West,"[('(27, 4)', 'North', 1), ('(27, 2)', 'South', 1), ('(28, 3)', 'East', 1), ('(26, 3)', 'West', 1)]","['(34, 9)', '(33, 10)', '(30, 11)', '(27, 3)']","['(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)', '(33, 10)', '(30, 11)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(27, 3)', '(30, 5)', '(33, 4)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",14,0,14
36,"(30, 11)","(31, 11)",West,"[('(31, 11)', 'East', 1), ('(29, 11)', 'West', 1)]","['(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)', '(33, 10)', '(30, 11)']","['(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)', '(33, 10)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",15,0,15
37,"(33, 10)","(33, 9)",North,"[('(33, 11)', 'North', 1), ('(33, 9)', 'South', 1)]","['(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)', '(33, 10)']","['(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",15,0,15
38,"(34, 9)","(33, 9)",East,"[('(35, 9)', 'East', 1), ('(33, 9)', 'West', 1)]","['(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)', '(34, 9)']","['(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",15,0,15
39,"(27, 4)","(27, 3)",North,"[('(27, 5)', 'North', 1), ('(27, 3)', 'South', 1)]","['(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)', '(27, 4)']","['(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",15,0,15
40,"(27, 2)","(27, 3)",South,"[('(27, 3)', 'North', 1), ('(27, 1)', 'South', 1)]","['(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)', '(27, 2)']","['(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(27, 2)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(29, 5)', '(31, 2)']",15,0,15
41,"(26, 3)","(27, 3)",West,"[('(27, 3)', 'East', 1), ('(25, 3)', 'West', 1)]","['(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)', '(26, 3)']","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(27, 2)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",15,0,15
42,"(29, 11)","(30, 11)",West,"[('(30, 11)', 'East', 1)]","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)', '(29, 11)']","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(29, 11)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(27, 2)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",16,0,16
43,"(33, 11)","(33, 10)",North,"[('(33, 10)', 'South', 1)]","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)', '(33, 11)']","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(33, 11)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(29, 11)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(27, 2)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(26, 3)', '(29, 5)', '(31, 2)']",16,0,16
44,"(35, 9)","(34, 9)",East,"[('(35, 10)', 'North', 1), ('(34, 9)', 'West', 1)]","['(25, 3)', '(27, 1)', '(27, 5)', '(35, 9)']","['(35, 10)', '(25, 3)', '(27, 1)', '(27, 5)']","['(31, 5)', '(31, 11)', '(34, 1)', '(34, 7)', '(31, 8)', '(27, 4)', '(28, 3)', '(33, 5)', '(32, 3)', '(35, 2)', '(32, 9)', '(33, 11)', '(35, 5)', '(29, 4)', '(31, 4)', '(31, 1)', '(31, 7)', '(34, 3)', '(31, 10)', '(34, 9)', '(27, 3)', '(29, 11)', '(30, 5)', '(33, 4)', '(30, 11)', '(33, 1)', '(33, 7)', '(35, 4)', '(35, 1)', '(35, 7)', '(33, 10)', '(29, 3)', '(31, 6)', '(31, 3)', '(31, 9)', '(27, 2)', '(33, 3)', '(33, 9)', '(33, 6)', '(35, 3)', '(35, 9)', '(26, 3)', '(29, 5)', '(31, 2)']",16,0,16
